option_id,degree_name,option_type_id,price
1,正常,1,0
2,少冰,1,0
3,微冰,1,0
4,去冰,1,0
5,熱,1,0
6,正常,2,0
7,少糖,2,0
8,微堂,2,0
9,無糖,2,0
